FID,Opername,Pipename,Shape_Leng,Shape__Length
158,GENESIS ENERGY,Genesis Pipeline,1.68117748562,1.68117748562341
159,GENESIS ENERGY,Genesis Pipeline,0.54695988,0.546959879999918
160,GENESIS ENERGY,Genesis Pipeline,0.0675217155492,0.067521715549195
161,GENESIS ENERGY,Genesis Pipeline,0.190589599656,0.19058959965566
162,GENESIS ENERGY,Genesis Pipeline,0.129656150866,0.12965615086556
163,GENESIS ENERGY,Genesis Pipeline,0.0874539549719,0.087453954971878
164,KOCH PIPELINE,Koch pipeline,2.06929087295,2.06929087294975
165,KOCH PIPELINE,Koch pipeline,0.223399967386,0.223399967385921
166,KOCH PIPELINE,Koch pipeline,0.746943441173,0.746943441172602
167,KOCH PIPELINE,Koch pipeline,3.79918596856,3.79918596855938
168,KOCH PIPELINE,Koch pipeline,0.179160505539,0.179160505538514
169,ENTERPRISE,TEPPCO South Texas Crude,1.5959906254,1.59599062539914
170,ENTERPRISE,TEPPCO South Texas Crude,1.02416341433,1.02416341433055
171,ENTERPRISE,TEPPCO South Texas Crude,1.18269190084,1.18269190084434
172,ENTERPRISE,TEPPCO South Texas Crude,1.27472733559,1.27472733559261
173,ENTERPRISE,TEPPCO South Texas Crude,0.393769888847,0.393769888847448
174,ENTERPRISE,TEPPCO South Texas Crude,0.875550694553,0.875550694552751
175,ENTERPRISE,TEPPCO South Texas Crude,0.843989696496,0.84398969649638
176,ENTERPRISE,TEPPCO South Texas Crude,0.913298611168,0.913298611167732
177,ENTERPRISE,TEPPCO South Texas Crude,0.445264152963,0.445264152962989
178,CHEVRON,SALT LAKE CRUDE,3.20058176584,3.20058176584397
179,ENBRIDGE,Alberta Clipper,22.7295773147,22.7295773147252
180,MAGELLAN,BridgeTex,6.85155471068,6.85155471068263
181,TRANSCANADA,Gulf Coast Project,7.2867493611,7.28674936110065
182,TALLGRASS ENERGY,Pony Express Mainline,11.1709684216,11.1709684215759
