FID,Typepipe,Operator,Shape_Leng,Shape__Length
199,Interstate,St Lawrence Gas Co,2.31823300632,2.31823300631905
200,Interstate,Stingray Pipeline,5.4909029117,5.49090291169911
201,Gathering,Tarpon Gathering System,0.645347056044,0.645347056043993
202,Intrastate,Tengasco Gas Co,0.663232514316,0.663232514315553
203,Interstate,Tennessee Gas Pipeline,122.400280257,122.400280256836
204,Interstate,Texas Eastern,0.405258548584,0.405258548583544
205,Interstate,Texas Eastern Trans Co,87.5202902906,87.5202902905904
206,Interstate,Texas Gas Transmission Co,49.3198326433,49.3198326432686
207,Intrastate,Texas Intrastate Pipeline Co,2.49909595755,2.49909595754608
208,Intrastate,The Exploration Co,2.12336918619,2.12336918619187
209,Interstate,Trailblazer Pipeline Co,8.22949600164,8.22949600164475
210,Interstate,TransColorado Gas Trans Co,4.73627910662,4.73627910661694
211,Interstate,Transcontinental Gas PL,99.7255727865,99.7255727865493
212,Interstate,TransOk Pipeline Co,42.3697491718,42.3697491717887
213,Interstate,Transwestern Gas Co,46.6953257086,46.695325708615
214,Gathering,Triton Offshore Pipeline System,0.662234071731,0.662234071730881
215,Interstate,Trunkline Gas Co,35.895656416,35.8956564160122
216,Intrastate,Tuscaloosa Pipeline Co,0.45884346118,0.458843461179592
217,Interstate,Tuscarora Pipeline Co,4.68517049422,4.68517049421669
218,Interstate,Union Light Heat & Power,1.11334143312,1.11334143312323
219,Interstate,USG Pipeline Co,0.238570238748,0.238570238748106
220,Intrastate,Valley Gas Pipeline Co,0.513550262183,0.513550262182623
221,Interstate,Vector Pipeline Co,6.09552216727,6.09552216726929
222,Intrastate,Venice Gas Gathering Sys,5.75452593416,5.75452593416342
223,Interstate,Vermont Gas System,0.842771777911,0.842771777910573
224,Interstate,Viking Gas Transmission Co,10.8230927223,10.8230927223162
225,Gathering,Viosca Knoll Gathering Company,0.52622575235,0.526225752349669
226,Intrastate,Virginia Natural Gas Co,3.94515773237,3.94515773237478
227,Intrastate,West Ohio Gas Co,3.41258476435,3.41258476434603
228,Gathering,William Deepwater Pipeline,9.42674660268,9.42674660267773
229,Interstate,Williston Basin Interstate PL Co,47.9828370319,47.9828370319157
230,Intrastate,Worsham-Steed Pipeline,0.941103532025,0.941103532024523
231,Interstate,Wyoming Interstate PL Co,11.1091223774,11.1091223773717
232,Intrastate,West Texas Gas,1.55666818894,1.556668188943
233,Intrastate,West Texas Gas,2.16181289635,2.16181289634589
234,Intrastate,West Texas Gas,0.346503966841,0.346503966840526
235,Intrastate,West Texas Gas,0.29129137783,0.291291377830438
236,Intrastate,West Texas Gas,0.155444858986,0.155444858985766
237,Intrastate,San Diego Gas & Elec Co,1.60511739353,1.60511739352819
