OBJECTID,PROJECT_NUMBER,SEGMENT_NUMBER,LINE_TYPE,LINE_TYPE_DESC,PHYSICAL_PIPE_LENGTH,STATUS,APPLICATION_DETERMINATION_NUM,ACTIVITY_APPROVAL_DATE,ACTIVITY_CANCEL_DATE,LEGACY_OGC_FILE_NUMBER,PROPONENT,AUTHORITY_TYPE,DATA_SOURCE,SHAPELEN
292613,000024153,2,GA,Gathering,1349,New,100100447,2016-11-26T12:31:39.000Z,,,Tourmaline Oil Corp.,OGAA,GPSD,1348.16931031008
292586,000024120,1,GA,Gathering,116,Active,100100756,2016-09-27T09:31:11.000Z,,,Painted Pony Energy Ltd.,OGAA,GPSD,115.24376595377
292614,000024153,3,GA,Gathering,1348,New,100100447,2016-11-26T12:31:39.000Z,,,Tourmaline Oil Corp.,OGAA,GPSD,1347.23253137
292615,000024159,1,GA,Gathering,6291.11,Active,100100870,2016-10-18T15:49:08.000Z,,,Leucrotta Exploration Inc.,OGAA,CGWC,6291.10573270572
292616,000024162,1,GA,Gathering,10840.08,Active,100100849,2016-11-26T12:17:22.000Z,,,Leucrotta Exploration Inc.,OGAA,CGWC,10840.0751580101
292860,000024550,1,GA,Gathering,3520,New,100102888,2017-10-04T13:29:37.000Z,,,Crew Energy Inc.,OGAA,CGWC,3519.5376590075
292861,000024550,2,DI,Distribution,3520,New,100102888,2017-10-04T13:29:37.000Z,,,Crew Energy Inc.,OGAA,CGWC,3519.72530839957
292862,000024553,2,GA,Gathering,9824,Active,100102572,2017-08-11T14:10:03.000Z,,,Crew Energy Inc.,OGAA,SNK,9810.38126862103
292863,000024554,1,GA,Gathering,733.36,Active,100103055,2017-08-25T10:39:52.000Z,,,Leucrotta Exploration Inc.,OGAA,CGWC,731.717265449828
292864,000024557,1,GA,Gathering,6469.59,Active,100102516,2017-07-27T13:18:15.000Z,,,ARC Resources Ltd.,OGAA,CGWC,6316.56251459482
292865,000024558,1,GA,Gathering,999,Active,100103061,2017-11-07T08:17:12.000Z,,,Encana Corporation,OGAA,SNK,996.748211741541
292866,000024558,2,GA,Gathering,1112,Active,100103061,2017-11-07T08:17:12.000Z,,,Encana Corporation,OGAA,SNK,1109.39851803802
292867,000024558,3,FG,Fuel Gas,1114,Active,100103061,2017-11-07T08:17:12.000Z,,,Encana Corporation,OGAA,SNK,1111.49169466855
292868,000024558,4,FL,Flow,796,Active,100103061,2017-11-07T08:17:12.000Z,,,Encana Corporation,OGAA,SNK,794.390535807156
292869,000024559,1,GA,Gathering,1232,New,100103066,2018-01-05T14:38:30.000Z,,,Encana Corporation,OGAA,SNK,1230.42788061211
292870,000024559,2,GA,Gathering,930,Active,100103066,2018-01-05T14:38:30.000Z,,,Encana Corporation,OGAA,SNK,929.711294979918
292871,000024559,3,GA,Gathering,2001,Active,100103066,2018-01-05T14:38:30.000Z,,,Encana Corporation,OGAA,SNK,2001.99737187408
292872,000024559,4,GA,Gathering,1884,Active,100103066,2018-01-05T14:38:30.000Z,,,Encana Corporation,OGAA,SNK,1884.9149165279
292873,000024559,5,GA,Gathering,1892,Active,100103066,2018-01-05T14:38:30.000Z,,,Encana Corporation,OGAA,SNK,1892.06374234069
292874,000024559,6,FL,Flow,1999,Active,100103066,2018-01-05T14:38:30.000Z,,,Encana Corporation,OGAA,SNK,1999.10335615324
292875,000024559,7,FL,Flow,1875,New,100103066,2018-01-05T14:38:30.000Z,,,Encana Corporation,OGAA,SNK,1875.09067037397
292876,000024561,1,GA,Gathering,3011,Active,100103068,2018-01-11T14:34:18.000Z,,,Encana Corporation,OGAA,SNK,3017.17245460368
292877,000024561,2,GA,Gathering,2874,Active,100103068,2018-01-11T14:34:18.000Z,,,Encana Corporation,OGAA,SNK,2880.36144000904
